NIVEAU_FORMATION_DIPLOME;NIVEAU_INTERMINISTERIEL;LIBELLE_COURT;LIBELLE_100;ANCIEN_NIVEAU;DATE_OUVERTURE;DATE_FERMETURE;DATE_INTERVENTION;N_COMMENTAIRE;NIVEAU_QUALIFICATION_RNCP
26Z;2;TH2;TH  DE NIV 2 NON PRECISE;;01/08/1996;;10/12/2020;;6
26X;2;TH2-X;TH DE NIV 2 ORGANISMES GESTIONNAIRES DIVERS;;01/08/1996;;10/12/2020;;6
26U;2;TH2-U;TH DE NIV 2 MENRT EDUCATION  UNIVERSITES;;01/08/1996;;10/12/2020;;6
26T;2;TH2-T;TH DE NIV 2 MINISTERE DU TRAVAIL - AFPA;;01/08/1996;;10/12/2020;;6
26S;2;TH2-S;TH DE NIV 2 SANTE SOCIAL;;;;10/12/2020;;6
26R;2;TH2-R;TH DE NIV 2 INSTANCES REGIONALES;;01/06/1997;;10/12/2020;;6
26Q;2;TH2-Q;TH DE NIV 2 MINISTERE DE L'EQUIPEMENT TRANSPORT TOURISME;;01/09/1997;;10/12/2020;;6
26N;2;TH2-N;TH DE NIV 2 MINISTERE INDUSTRIE;;01/06/1997;;10/12/2020;;6
26M;2;TH2-M;TH DE NIV 2 DES CHAMBRES DE METIERS;;01/08/1996;;10/12/2020;;6
26K;2;TH2-K;TH DE NIV 2 MINISTERE DE LA CULTURE;;;;10/12/2020;;6
26J;2;TH2-J;TH DE NIV 2 MINISTERE DE LA JEUNESSE ET DES SPORTS;;01/08/1996;;10/12/2020;;6
26E;2;TH2-E;TH DE NIV 2 EDUCATION RECTORAT GRETA ...;;01/06/1997;;10/12/2020;;6
26D;2;TH2-D;TH DE NIV 2 DES ARMEES - MINISTERE DE LA DEFENSE;;01/08/1996;;10/12/2020;;6
26C;2;TH2-C;TH DE NIV 2 DES CCI ET MINISTERE COMMERCE ARTISANAT PME;;01/08/1996;;10/12/2020;;6
26A;2;TH2-A;TH DE NIV 2 DES ORGANISMES ET CHAMBRES D'AGRICULTURE;;01/08/1996;;10/12/2020;;6
16J;1;TH1-J;TH DE NIV 1 MINISTERE DE LA JEUNESSE ET DES SPORTS;;01/08/1996;;06/01/2021;;7
16N;1;TH1-N;TH DE NIV 1 MINISTERE INDUSTRIE;;01/06/1997;;06/01/2021;;7
16Q;1;TH1-Q;TH DE NIV 1 MINISTERE DE L'EQUIPEMENT TRANSPORT TOURISME;;01/09/1997;;06/01/2021;;7
16R;1;TH1-R;TH DE NIV 1 INSTANCES REGIONALES;;01/06/1997;;06/01/2021;;7
16S;1;TH1-S;TH DE NIV 1 SANTE SOCIAL;;;;06/01/2021;;7
16T;1;TH1-T;TH DE NIV 1 MINISTERE DU TRAVAIL - AFPA;;01/08/1996;;06/01/2021;;7
16U;1;TH1-U;TH DE NIV 1 MENRT EDUCATION  UNIVERSITES;;01/08/1996;;06/01/2021;;7
16X;1;TH1-X;TH DE NIV 1 ORGANISMES GESTIONNAIRES DIVERS;;01/08/1996;;06/01/2021;;7
16Z;1;TH1;TH DE NIV 1 NON PRECISE;;01/08/1996;;06/01/2021;;7
999;9;INDETERM.;INDETERMINE;;;;10/12/2020;;99
970;9;ATT PRO;ATTESTATION POUR DIPLOMES PROFESSIONNELS;;;;10/12/2020;30/03/20202 : adaptation du libellé (ancien libellé ATTESTATION POUR ACCES AUX DIPLOMES PROFESSIONNELS) pour attestations non nécessaires pour l'obtention du diplôme.;99
963;9;JDC;JOURNEE DEFENSE ET CITOYENNETE;;01/09/2010;;10/12/2020;dans le cadre parcours de la citoyenneté;99
962;9;ASN;ATTESTATION SAVOIR NAGER;;01/09/2015;;10/12/2020;arrêté du 9 juillet 2015;99
960;9;BIA;BREVET D'INITIATION AERONAUTIQUE;;;;10/12/2020;suite à demande pour Sconet (académie de Rouen) et Imagin (Jury);99
933;9;DILF;DIPLOME INITIAL DE LANGUE FRANCAISE;;;;10/12/2020;Décret 2006-1626 du 19 décembre 2006;99
932;9;DELF;DIPLOME D'ETUDES EN LANGUE FRANCAISE;;;;10/12/2020;suite à demande pour Sconet (académie de Rouen) et Imagin (Jury);99
931;9;DCL;DIPLOME DE COMPETENCE EN LANGUES;;;;10/12/2020;suite à demande pour Sconet (académie de Rouen) et Imagin (Jury);99
930;9;CER LANG;CERTIFICATION EN LANGUE VIVANTE ETRANGERE;;;;10/12/2020;;99
921;9;C2I;CERTIFICAT INFORMATIQUE ET INTERNET;;;;10/12/2020;suite à demande Sconet - (académie de Poitiers - SESAM 21257);99
920;9;B2I;BREVET INFORMATIQUE ET INTERNET;;;;10/12/2020;;99
914;9;PRAP;PREVENTION DES RISQUES LIES A L'ACTIVITE PHYSIQUE;;;;10/12/2020;suite aux signalements des académies;99
913;9;APS;ATTESTATION A PORTER SECOURS;;01/09/2006;;10/12/2020;Création à la suite d'ujn signalement dans Siecle;99
912;9;SST;CERTIFICAT SAUVETEUR SECOURISME DU TRAVAIL;;;;10/12/2020;;99
911;9;PSC;PREVENTION ET SECOURS CIVIQUES;;;;10/12/2020;;99
910;9;AFPS;ATTESTATION DE FORMATION AUX PREMIERS SECOURS;;;;10/12/2020;;99
900;9;ATT SECUR;ATTESTATION DE SECURITE ROUTIERE;;;;10/12/2020;;99
700;7;1ER DEGRE;PREELEMENTAIRE ET ELEMENTAIRE;;;;10/12/2020;;0
699;6;AUT.1E CYC;AUTRES FORMATIONS DE 1ER CYCLE;;;;10/12/2020;;0
690;6;ENS ADAPTE;ENSEIGNEMENT ADAPTE;;;;10/12/2020;;0
672;6;CFG;CERTIFICAT DE FORMATION GENERALE;;;;10/12/2020;25/10/2012 : correction faute d'orthographe;0
671;6;DNB;DIPLOME NATIONAL DU BREVET;;;;10/12/2020;;0
670;6;1E CYC.GEN;FORMATIONS GENERALES DE 1ER CYCLE;;;;10/12/2020;;0
641;6;FAJ;FORMATION D'APPRENTIS JUNIORS;;;;10/12/2020;;0
640;6;CLIPA;CLASSE D'INITIATION PREPROFESSIONNELLE PAR ALTERNANCE;;;;10/12/2020;;0
631;6;DIMA;DISPOSITIF D'INITIATION AUX METIERS EN ALTERNANCE;;;;10/12/2020;;0
630;6;CPA;CPA;;;;10/12/2020;;0
620;6;CPPN;CPPN;;;31/08/1996;10/12/2020;;99
610;6;1CYC.TECHN;ENSEIGNEMENT TECHNOLOGIQUE DE 1ER CYCLE;;;;10/12/2020;;0
599;5;AUTRE N-5;AUTRES FORMATIONS DE NIVEAU 5;;;;10/12/2020;;3
583;5;CIPPA;CYCLE D'INSERTION PROF.PAR ALTERNANCE;;;;10/12/2020;;3
582;5;MODAL N-5;MODULE D'ACTION EN LYCEE DE NIVEAU_5;;;;10/12/2020;;3
581;5;FCIL N-5;FCIL & FC NON DIPLOMANTE POST NIVEAU_5;;;;10/12/2020;;3
564;5;TH5-AG;TH DE NIV 5 REMONTES DES CFA AGRICOLES;;01/08/1996;;10/12/2020;;3
563;5;CSA NIV5;CERTIFICAT DE SPECIALISATION AGRICOLE DE NIVEAU 5;;15/02/1996;;10/12/2020;;3
562;5;CPAP;CERTIFICAT POLYNESIEN D'APTITUDES PROFESSIONNELLES;;01/09/2019;;10/12/2020;;3
560;5;DIV-5;AUTRES DIPLOMES DE NIVEAU V;;;;10/12/2020;;3
553;5;BPA5;BREVET PROFESSIONNEL AGRICOLE DE NIVEAU V;;;;10/12/2020;;3
550;5;SES 3 A 6;SES/SEGPA 3EME A 6EME ANNEE;;;;10/12/2020;;3
513;5;BEPA;BREVET D'ETUDES PROFESSIONNELLES AGRICOLES;51;15/02/1996;;10/12/2020;;3
510;5;BEP;BREVET D'ETUDES PROFESSIONNELLES;51;;;10/12/2020;;3
968;9;BNJ POMPIE;BREVET NATIONAL DE JEUNE SAPEUR-POMPIER ET DE JEUNE MARIN-POMPIER;;05/12/2021;;12/04/2022;Demande DGESCO avril 2022;99
482;4;MODAL N-4;MODULE D'ACTION EN LYCEE DE NIVEAU_4;;;;10/12/2020;;4
481;4;FCIL N-4;FCIL & FC NON DIPLOMANTE POST NIVEAU_4;;;;10/12/2020;;4
464;4;TH4-AG;TH DE NIV 4 REMONTES DES CFA AGRICOLES;;01/08/1996;;10/12/2020;;4
463;4;CSA NIV4;CERTIFICAT DE SPECIALISATION AGRICOLE DE NIVEAU 4;;15/02/1996;;10/12/2020;;4
460;4;DIV-4;AUTRES DIPLOMES DE NIVEAU IV;;;;10/12/2020;;4
453;4;BPA4;BREVET PROFESSIONNEL AGRICOLE DE NIVEAU IV;45;15/02/1996;;10/12/2020;;4
450;4;BP;BREVET PROFESSIONNEL;45;;;10/12/2020;;4
446;4;BP JEPS;BREVET PROFESSIONNEL DE LA JEUNESSE, DE L'EDUCATION POPULAIRE ET DU SPORT;;31/08/2001;;10/12/2020;;4
433;4;BAC TEC AG;BAC TECHNOLOGIQUE AGRICOLE;43;15/02/1996;;10/12/2020;;0
16C;1;TH1-C;TH DE NIV 1 DES CCI ET MINISTERE COMMERCE ARTISANAT PME;;01/08/1996;;06/01/2021;;7
16D;1;TH1-D;TH DE NIV 1 DES ARMEES - MINISTERE DE LA DEFENSE;;01/08/1996;;06/01/2021;;7
16E;1;TH1-E;TH DE NIV 1 EDUCATION RECTORAT GRETA ...;;01/06/1997;;06/01/2021;;7
423;4;BTA;BREVET DE TECHNICIEN AGRICOLE;42;15/02/1996;;10/12/2020;;4
420;4;BT;BREVET DE TECHNICIEN;42;;;10/12/2020;;4
410;4;BEI;BREVET D'ENSEIGNEMENT INDUSTRIEL;41;;01/09/1992;10/12/2020;;4
403;4;BAC PRO AG;BAC PROFESSIONNEL AGRICOLE;;15/02/1996;;10/12/2020;;4
401;4;BMA;BREVET DES METIERS D'ART - BREVET DES METIERS DU SPECTACLE;40;;;10/12/2020;;4
400;4;BAC PRO;BAC PROFESSIONNEL;40;;;10/12/2020;;4
399;3;AUTRE N-3;AUTRES FORMATIONS DE NIVEAU 3;;;;10/12/2020;;5
382;3;MODAL N-3;MODULE D'ACTION EN LYCEE DE NIVEAU_3;;;;10/12/2020;;5
381;3;FCIL N-3;FCIL & FC NON DIPLOMANTE POST NIVEAU_3;;;;10/12/2020;;5
371;3;DECF;DIPLOME ETUDES COMPTABLES & FINANCIERES;;;;10/12/2020;;5
370;3;CPGE;CLASSE PREPARATOIRE AUX GRANDES ECOLES;47;;;10/12/2020;;5
364;3;TH3-AG;TH DE NIV 3 REMONTES DES CFA AGRICOLES;;01/08/1996;;10/12/2020;;5
363;3;CSA NIV3;CERTIFICAT DE SPECIALISATION AGRICOLE DE NIVEAU 3;;15/02/1996;;10/12/2020;;5
360;3;DIV-3;AUTRES DIPLOMES DE NIVEAU III;;;;10/12/2020;;5
356;3;DU-3;AUTRES DIPLOMES UNIVERSITAIRES DE NIV 3;;01/08/1996;;10/12/2020;;5
355;3;DEUST;DIPLOME D'ETUDES UNIVERSITAIRES DE SCIENCES ET TECHNOLOGIE;;01/08/1996;;10/12/2020;;5
352;3;DEUG;DIPLOME D'ETUDES UNIVERSITAIRES GENERALES;;01/09/1997;;10/12/2020;;5
350;3;DUT;DIPLOME UNIVERSITAIRE DE TECHNOLOGIE;35;;;10/12/2020;;5
346;3;DIP3-CNAM;DIPLOMES CNAM DE NIV 3 (DPCE, DPCT ...);;01/08/1996;;10/12/2020;;5
336;3;DE JEPS;DIPLOME D'ETAT DE LA JEUNESSE, DE L'EDUCATION POPULAIRE ET DU SPORT;;;;10/12/2020;;5
323;3;BTSA;BREVET DE TECHNICIEN SUPERIEUR AGRICOLE;32;15/02/1996;;10/12/2020;;5
322;3;ASSIMI.BTS;AUTRE DIPL. ASSIMILE AU BTS (DTS-DPECF-DNTS);32;;;10/12/2020;;5
321;3;DMA;DIPLOME DES METIERS D'ART;32;;;10/12/2020;;5
320;3;BTS;BREVET DE TECHNICIEN SUPERIEUR;32;;;10/12/2020;;5
264;2;TH2-AG;TH DE NIV 2 REMONTES DES CFA AGRICOLES;;01/08/1996;;10/12/2020;;6
263;2;CSA NIV2;CERTIFICAT DE SPECIALISATION AGRICOLE DE NIVEAU 2;;15/02/1996;;10/12/2020;;6
260;2;DIV-2;AUTRES DIPLOMES DE NIVEAU II;;01/08/1996;;10/12/2020;;6
256;2;DU-2;AUTRES DIPLOMES UNIVERSITAIRES DE NIV 2;;01/08/1996;;10/12/2020;;6
255;2;GD ETB LIC;DIPLOME GRAND ETABLISSEMENT GRADE LICENCE;;01/09/2016;;10/12/2020;;6
250;2;LIC PRO;LICENCE PROFESSIONNELLE;;17/11/1999;;10/12/2020;;6
246;2;DIP2-CNAM;DIPLOMES CNAM DE NIV 2 (DESE, DEST ....);;01/08/1996;;10/12/2020;;6
241;2;DNMADE;DIPLOME NATIONAL DES METIERS D'ART ET DU DESIGN;;01/09/2019;;10/12/2020;;6
240;2;DSAA;DIPLOME SUPERIEUR DES ARTS APPLIQUES;32;;;10/12/2020;;6
503;5;CAPA;CERTIFICAT D'APTITUDE PROFESSIONNELLE AGRICOLE;50;15/02/1996;;09/03/2022;;3
236;2;DES JEPS;DIPLOME D'ETAT SUPERIEUR DE LA JEUNESSE, DE L'EDUCATION POPULAIRE ET DU SPORT;;;;10/12/2020;;6
230;2;ING-M;DIPLOMES D'INGENIEUR-MAITRE;;01/08/1996;;10/12/2020;;6
220;2;MST;MAITRISES DE SCIENCES ET TECHNIQUES DES UNIVERSITES (YC MIAGE  MSG );;01/08/1996;;10/12/2020;;6
210;2;DNTS-A;DNTS (DIPL.NAT. TECHNO. SPEC.) ANCIEN CODE;;;31/08/1996;10/12/2020;;6
205;2;LIC LMD;LICENCE LMD;;01/09/2005;;10/12/2020;;6
201;2;MAIT;MAITRISE DES UNIVERSITES;;01/08/1996;;10/12/2020;;6
200;2;LIC;LICENCE DES UNIVERSITES;;01/08/1996;;10/12/2020;;6
145;1;MASTER;MASTER (LMD) INDIFFERENCIE;;01/09/2004;;10/12/2020;;7
135;1;MASTER PRO;MASTER PROFESSIONNEL;;01/01/2002;;10/12/2020;;7
125;1;MASTER R;MASTER RECHERCHE;;01/01/2002;;10/12/2020;;7
100;1;DOCTORAT;DOCTORAT D'UNIVERSITE;;;;10/12/2020;;8
13;5;MC AG;MENTION COMPLEMENTAIRE AGRICOLE;;15/02/1996;;10/12/2020;;XX
10;0;MC;MENTION COMPLEMENTAIRE;52;;;10/12/2020;;XX
170;1;ING;INGENIEURS RECONNUS (RCT..), NFI , ALTERNANCE;;01/08/1996;;05/01/2021;;7
120;1;DEA;DIPLOME D'ETUDES APPROFONDIES;;;;06/01/2021;;7
130;1;DESS;DIPLOMES D'ETUDES SUPERIEURES SPECIALISEES;;01/08/1996;;06/01/2021;;7
131;1;DRT;DIPLOME DE RECHERCHE TECHNOLOGIQUE;;19/12/1994;;06/01/2021;;7
140;1;DSAA-1;DIPLOME SUPERIEUR DES ARTS APPLIQUES;;01/09/2012;;06/01/2021;changement de niveau du DSAA - décret du 23/08/2011;7
146;1;DIP1-CNAM;DIPLOMES CNAM DE NIV 1;;01/08/1996;;06/01/2021;;7
155;1;GD ETB MAS;DIPLOME GRAND ETABLISSEMENT GRADE MASTER;;01/09/2004;;06/01/2021;;7
156;1;DU-1;AUTRES DIPLOMES UNIVERSITAIRES DE NIV 1;;01/08/1996;;06/01/2021;;7
160;1;DIV-1;AUTRES DIPLOMES DE NIVEAU I;;;;06/01/2021;;7
164;1;TH1-AG;TH DE NIV 1 REMONTES DES CFA AGRICOLES;;01/08/1996;;06/01/2021;;7
165;1;DIP GVM;DIPLOME GRADE ET VISE MASTER;;01/09/2004;;06/01/2021;;7
180;1;MBA;MASTER OF BUSINESS ADMINISTRATION;;;;06/01/2021;;7
199;1;AUTRE N-1;AUTRES FORMATIONS DE NIVEAU 1;;;;06/01/2021;;7
216;2;DEM MONT 6;DIPLOME D’ETAT METIERS DE LA MONTAGNE DE NIVEAU 6;;;;03/12/2021;Création suite à une demande des équipes examens/concours;6
316;3;DEM MONT 5;DIPLOME D’ETAT METIERS DE LA MONTAGNE DE NIVEAU 5;;;;03/12/2021;Création suite à une demande des équipes examens/concours;5
326;3;CP JEPS 5;CERTIFICAT COMPLEMENTAIRE JEPS DE NIVEAU 5;;;;03/12/2021;Création suite à une demande des équipes examens/concours;5
426;4;CP JEPS 4;CERTIFICAT COMPLEMENTAIRE JEPS DE NIVEAU 4;;;;03/12/2021;Création suite à une demande des équipes examens/concours;4
206;2;MN SPORT 6;MISE A NIVEAU SPORTS DE NIVEAU 6;;;;03/12/2021;Création suite à une demande des équipes examens/concours;6
306;3;MN SPORT 5;MISE A NIVEAU SPORTS DE NIVEAU 5;;;;03/12/2021;Création suite à une demande des équipes examens/concours;5
406;4;MN SPORT 4;MISE A NIVEAU SPORTS DE NIVEAU 4;;;;03/12/2021;Création suite à une demande des équipes examens/concours;4
500;5;CAP;CERTIFICAT D'APTITUDE PROFESSIONNELLE;50;;;09/03/2022;;3
470;4;BAC GENE;BAC GENERAL;;;;22/02/2023;;4
430;4;BAC TECHNO;BAC TECHNOLOGIQUE;43;;;22/02/2023;;4
901;9;PERMIS ETG;PERMIS DE CONDUIRE : EPREUVE THEORIQUE GENERALE;;01/09/2022;;20/05/2023;Création suite à la demande des examens/concours;99
499;4;AUTRE N-4;AUTRES FORMATIONS DE NIVEAU 4;;;;04/07/2023;03/07/2023 : réouverture du niveau, initialement fermé en 2008;4
461;4;CS 4;CERTIFICAT DE SPECIALISATION DE NIVEAU 4;;01/09/2024;;14/11/2023;Remplace la mention complémentaire de niveau 4;4
561;5;CS 3;CERTIFICAT DE SPECIALISATION DE NIVEAU 3;;01/09/2024;;14/11/2023;Remplace la mention complémentaire de niveau 3;3
