Commission professionnelle consultative;Secteur;Sous-secteur;Niveau;Code diplôme;Diplôme;Intitulé de la spécialité (et options);Code RNCP;Date de l'arrêté de création;Première session;Dernière session
CPC Industrie;Secteur Métallurgie;Sous-secteur Electrotechnique, électronique, automatisme et informatique;Niveau 5;320-25520 R;Brevet de technicien supérieur;Electrotechnique;35346;2020-02-21;2022;
CPC Construction;Secteur Bâtiment, travaux publics, matériaux de construction;Sous-secteur Gros-oeuvre et travaux publics;Niveau 5;320-23205 P;Brevet de technicien supérieur;Enveloppe des bâtiments : conception et réalisation;35461;2016-02-16;2018;
CPC Industrie;Secteur Chimie, bio-industrie, environnement;Sous-secteur Matériaux;Niveau 5;320-22505 S;Brevet de technicien supérieur;Europlastics et composites à référentiel commun européen option conception outillage;35333;2016-02-29;2018;
CPC Construction;Secteur Bâtiment, travaux publics, matériaux de construction;Sous-secteur;Niveau 5;320-22710 M;Brevet de technicien supérieur;Fluides-énergies-domotique option B froid et conditionnement d'air;20807;2014-02-26;2016;
CPC Construction;Secteur Bâtiment, travaux publics, matériaux de construction;Sous-secteur;Niveau 5;320-23109 M;Brevet de technicien supérieur;Géologie appliquée;35337;2019-03-05;2021;
CPC Services aux entreprises;Secteur Services administratifs et financiers;Sous-secteur;Niveau 5;320-31409 T;Brevet de technicien supérieur;Gestion de la PME;32360;2018-02-19;2020;
CPC Mobilité et logistique;Secteur Transport, logistique, sécurité et autres services;Sous-secteur;Niveau 5;320-31103 T;Brevet de technicien supérieur;Gestion des transports et logistique associée;35400;2018-10-11;2021;
CPC Industrie;Secteur Métiers de la mode et industries connexes;Sous-secteur;Niveau 5;320-24111 S;Brevet de technicien supérieur;Innovation textile option A structures;20675;2014-05-13;2016;
CPC Industrie;Secteur Métallurgie;Sous-secteur Electrotechnique, électronique, automatisme et informatique;Niveau 5;320-25011 R;Brevet de technicien supérieur;Maintenance des systèmes option B systèmes énergétiques et fluidiques;35338;2018-02-19;2020;2023
CPC Services et produits de consommation;Secteur Tourisme, hôtellerie, restauration;Sous-secteur;Niveau 5;320-33423 P;Brevet de technicien supérieur;Management en hôtellerie et restauration option A management d'unité de restauration;35339;2018-02-15;2020;
CPC Arts, spectacles et médias;Secteur Communication graphique et audiovisuel;Sous-secteur;Niveau 5;320-32331 P;Brevet de technicien supérieur;Métiers de l'audiovisuel option techniques d'ingénierie et exploitation des équipements;20698;2013-06-04;2016;
CPC Industrie;Secteur Chimie, bio-industrie, environnement;Sous-secteur Chimie, bio-industrie, environnement;Niveau 5;320-20114 M;Brevet de technicien supérieur;Métiers de l'eau;35344;2018-02-19;2020;
CPC Services et produits de consommation;Secteur Coiffure, esthétique et services connexes;Sous-secteur;Niveau 5;320-33603 T;Brevet de technicien supérieur;Métiers de l'esthétique-cosmétique-parfumerie, option A management;20693;2012-10-30;2015;
CPC Industrie;Secteur Métallurgie;Sous-secteur Electrotechnique, électronique, automatisme et informatique;Niveau 5;320-20115 R;Brevet de technicien supérieur;Métiers de la mesure;35803;2020-12-18;2023;
CPC Industrie;Secteur Métiers de la mode et industries connexes;Sous-secteur;Niveau 5;320-24207 M;Brevet de technicien supérieur;Métiers de la mode - vêtements;35468;2012-02-07;2014;
CPC Construction;Secteur Bâtiment, travaux publics, matériaux de construction;Sous-secteur Gros-oeuvre et travaux publics;Niveau 5;320-23108 N;Brevet de technicien supérieur;Métiers du géomètre - topographe et de la modélisation numérique;34015;2016-02-16;2018;
CPC Industrie;Secteur Métallurgie;Sous-secteur Automobile, matériel agricole et de travaux publics;Niveau 5;320-25214 R;Brevet de technicien supérieur;Moteurs à combustion interne;1083;2016-02-08;2018;2023
CPC Services aux entreprises;Secteur Services administratifs et financiers;Sous-secteur;Niveau 5;320-31309 T;Brevet de technicien supérieur;Professions immobilières;14922;2012-04-05;2014;
CPC Cohésion sociale et santé;Secteur Sanitaire et social, médico-social;Sous-secteur;Niveau 5;320-33110 S;Brevet de technicien supérieur;Prothésiste dentaire;14957;2012-07-27;2014;
CPC Cohésion sociale et santé;Secteur Sanitaire et social, médico-social;Sous-secteur;Niveau 5;320-33002 P;Brevet de technicien supérieur;Services et prestations des secteurs sanitaire et social;;2022-01-24;2024;
CPC Cohésion sociale et santé;Secteur Sanitaire et social, médico-social;Sous-secteur;Niveau 3;500-33205 T;Certificat d'aptitude professionnelle;Accompagnant éducatif petite enfance;28048;2020-11-30;2021;
CPC Industrie;Secteur Métallurgie;Sous-secteur Aviation;Niveau 3;500-25305 M;Certificat d'aptitude professionnelle;Aéronautique option avionique;17479;2013-08-19;2015;
CPC Industrie;Secteur Métallurgie;Sous-secteur Aviation;Niveau 3;500-25307 M;Certificat d'aptitude professionnelle;Aéronautique option structure;17482;2013-08-19;2015;
CPC Services aux entreprises;Secteur Chimie, bio-industrie, environnement;Sous-secteur Contrôle;Niveau 3;500-34303 T;Certificat d'aptitude professionnelle;Agent d'assainissement et de collecte des déchets liquides spéciaux;503;1994-03-11;1996;
CPC Arts, spectacles et médias;Secteur Arts appliqués;Sous-secteur Arts du métal et métiers connexes;Niveau 3;500-22362 V;Certificat d'aptitude professionnelle;Art et techniques de la bijouterie-joaillerie option bijouterie-sertissage;36336;2008-03-18;2010;
CPC Arts, spectacles et médias;Secteur Arts appliqués;Sous-secteur Art textile et mode;Niveau 3;500-24130 V;Certificat d'aptitude professionnelle;Arts de la dentelle option fuseaux;35640;2004-07-29;2005;
CPC Arts, spectacles et médias;Secteur Arts appliqués;Sous-secteur Arts du feu;Niveau 3;500-22427 V;Certificat d'aptitude professionnelle;Arts et techniques du verre option décorateur sur verre;521;1994-08-29;1996;
CPC Mer et navigation intérieure;Secteur Bois et dérivés;Sous-secteur;Niveau 3;500-23444 S;Certificat d'aptitude professionnelle;Charpentier de marine;2834;2005-03-31;2007;
CPC Mobilité et logistique;Secteur Transport, logistique, sécurité et autres services;Sous-secteur;Niveau 3;500-31118 T;Certificat d'aptitude professionnelle;Conducteur livreur de marchandises;17131;2010-06-18;2012;
CPC Construction;Secteur Bâtiment, travaux publics, matériaux de construction;Sous-secteur Gros-oeuvre et travaux publics;Niveau 3;500-23120 S;Certificat d'aptitude professionnelle;Constructeur de routes et d'aménagements urbains;35888;2021-03-30;2023;
CPC Mobilité et logistique;Secteur Transport, logistique, sécurité et autres services;Sous-secteur;Niveau 3;500-31107 T;Certificat d'aptitude professionnelle;Emballeur professionnel;567;1983-09-29;1985;
CPC Services et produits de consommation;Secteur Coiffure, esthétique et services connexes;Sous-secteur;Niveau 3;500-33615 T;Certificat d'aptitude professionnelle;Esthétique cosmétique parfumerie;31041;2018-06-25;2020;
CPC Arts, spectacles et médias;Secteur Arts appliqués;Sous-secteur Arts du métal et métiers connexes;Niveau 3;500-25436 S;Certificat d'aptitude professionnelle;Ferronnier d'art;24652;2015-01-07;2017;
CPC Cohésion sociale et santé;Secteur Sanitaire et social, médico-social;Sous-secteur;Niveau 3;500-34404 T;Certificat d'aptitude professionnelle;Gardien d'immeuble;586;2010-02-23;2011;
CPC Industrie;Secteur Métallurgie;Sous-secteur Automobile, matériel agricole et de travaux publics;Niveau 3;500-25218 R;Certificat d'aptitude professionnelle;Maintenance des véhicules option A - voitures particulières;19118;2014-04-22;2016;
CPC Industrie;Secteur Bois et dérivés;Sous-secteur;Niveau 3;500-22609 S;Certificat d'aptitude professionnelle;Mécanicien conducteur des scieries et des industries mécaniques du bois option b - mécanicien affûteur de sciage, tranchage, déroulage;605;1969-10-07;1971;
CPC Industrie;Secteur Bois et dérivés;Sous-secteur;Niveau 3;500-23447 S;Certificat d'aptitude professionnelle;Menuisier fabricant;en cours;2020-11-20;2023;
CPC Construction;Secteur Bâtiment, travaux publics, matériaux de construction;Sous-secteur;Niveau 3;500-25521 S;Certificat d'aptitude professionnelle;Métiers de l'enseigne et de la signalétique;572;2007-10-16;2009;
CPC Industrie;Secteur Métallurgie;Sous-secteur Travail des métaux;Niveau 3;500-22360 S;Certificat d'aptitude professionnelle;Métiers de la fonderie;4658;2007-03-20;2009;
CPC Arts, spectacles et médias;Secteur Arts appliqués;Sous-secteur Gravure;Niveau 3;500-32222 S;Certificat d'aptitude professionnelle;Métiers de la gravure option C - gravure en modèle;622;1993-03-09;1995;
CPC Arts, spectacles et médias;Secteur Métiers de la mode et industries connexes;Sous-secteur;Niveau 3;500-24240 S;Certificat d'aptitude professionnelle;Métiers de la mode - vêtement flou;12842;2011-04-08;2013;
CPC Arts, spectacles et médias;Secteur Métiers de la mode et industries connexes;Sous-secteur;Niveau 3;500-24241 S;Certificat d'aptitude professionnelle;Métiers de la mode - vêtement tailleur;12843;2011-04-08;2013;
CPC Construction;Secteur Bâtiment, travaux publics, matériaux de construction;Sous-secteur;Niveau 3;500-23326 S;Certificat d'aptitude professionnelle;Métiers du plâtre et de l'isolation;35319;2019-04-15;2021;
CPC Arts, spectacles et médias;Secteur Métallurgie;Sous-secteur Travail des métaux;Niveau 3;500-22420 S;Certificat d'aptitude professionnelle;Modèles et moules céramiques;631;1991-08-29;1993;
CPC Services aux entreprises;Secteur Transport, logistique, sécurité et autres services;Sous-secteur;Niveau 3;500-23005 S;Certificat d'aptitude professionnelle;Monteur de structures mobiles;636;1997-09-17;1999;
CPC Construction;Secteur Bâtiment, travaux publics, matériaux de construction;Sous-secteur;Niveau 3;500-23324 S;Certificat d'aptitude professionnelle;Monteur en installations sanitaires;30952;2018-04-11;2020;
CPC Mobilité et logistique;Secteur Transport, logistique, sécurité et autres services;Sous-secteur;Niveau 3;500-31122 T;Certificat d'aptitude professionnelle;Opérateur-opératrice logistique;22689;2015-03-02;2017;
CPC Arts, spectacles et médias;Secteur Arts appliqués;Sous-secteur Arts du métal et métiers connexes;Niveau 3;500-22342 V;Certificat d'aptitude professionnelle;Orfèvre option C - polisseur aviveur en orfèvrerie;641;1973-10-15;1976;
CPC Industrie;Secteur Métallurgie;Sous-secteur Travail des métaux;Niveau 3;500-25126 S;Certificat d'aptitude professionnelle;Outillages en outils à découper et à emboutir;646;1991-08-29;1993;
CPC Arts, spectacles et médias;Secteur Arts appliqués;Sous-secteur Musique;Niveau 3;500-23427 V;Certificat d'aptitude professionnelle;Ouvrier archetier;647;1959-07-10;1961;
CPC Industrie;Secteur Métallurgie;Sous-secteur Automobile, matériel agricole et de travaux publics;Niveau 3;500-25433 S;Certificat d'aptitude professionnelle;Peinture en carrosserie;4933;2007-03-20;2009;
CPC Industrie;Secteur Chimie, bio-industrie, environnement;Sous-secteur Matériaux;Niveau 3;500-22509 S;Certificat d'aptitude professionnelle;Plasturgie;736;1999-07-27;2001;
CPC Cohésion sociale et santé;Secteur Sanitaire et social, médico-social;Sous-secteur;Niveau 3;500-33107 S;Certificat d'aptitude professionnelle;Podo-orthésiste;654;1994-08-25;1996;
CPC Services et produits de consommation;Secteur Alimentation;Sous-secteur;Niveau 3;500-31221 T;Certificat d'aptitude professionnelle;Poissonnier écailler;5227;2007-03-20;2009;
CPC Industrie;Secteur Métallurgie;Sous-secteur Electrotechnique, électronique, automatisme et informatique;Niveau 3;;Certificat d'aptitude professionnelle;Transport par câbles et remontées mécaniques;;2022-12-21;2025;
CPC Arts, spectacles et médias;Secteur Arts appliqués;Sous-secteur Arts de la reliure;Niveau 5;321-32206 V;Diplôme des métiers d'art;Arts graphiques option : reliure dorure;828;1998-07-30;2000;
CPC Arts, spectacles et médias;Secteur Communication graphique et audiovisuel;Sous-secteur;Niveau 5;321-32208 V;Diplôme des métiers d'art;Arts graphiques option : typographie;829;1998-07-30;2000;
CPC Arts, spectacles et médias;Secteur Arts appliqués;Sous-secteur Environnement;Niveau 5;321-23003 V;Diplôme des métiers d'art;Décor architectural option A : domaine du traitement plastique et de la transparence;845;1987-07-16;1989;
CPC Arts, spectacles et médias;Secteur Arts appliqués;Sous-secteur Musique;Niveau 5;321-23411 V;Diplôme des métiers d'art;Facture instrumentale option accordéon;6899;2009-04-08;2011;
CPC Arts, spectacles et médias;Secteur Arts appliqués;Sous-secteur Musique;Niveau 5;321-25401 V;Diplôme des métiers d'art;Facture instrumentale option instruments à vent;6899;2009-04-08;2011;
CPC Arts, spectacles et médias;Secteur Arts appliqués;Sous-secteur Environnement;Niveau 5;321-23002 V;Diplôme des métiers d'art;Habitat option : ornements et objets;837;1987-07-07;1989;
CPC Arts, spectacles et médias;Secteur Arts appliqués;Sous-secteur Arts du métal et métiers connexes;Niveau 5;321-25101 V;Diplôme des métiers d'art;Horlogerie;830;1996-07-11;1998;
CPC Arts, spectacles et médias;Secteur Arts appliqués;Sous-secteur Musique;Niveau 5;321-23409 V;Diplôme des métiers d'art;Lutherie;820;2000-05-31;2003;
CPC Industrie;Secteur Chimie, bio-industrie, environnement;Sous-secteur Matériaux;Niveau 3;010-22405 U;Mention complémentaire de niveau 3;Conducteur de machines de verrerie;723;1988-10-25;1991;
CPC Construction;Secteur Bâtiment, travaux publics, matériaux de construction;Sous-secteur;Niveau 3;;Mention complémentaire de niveau 3;Maintenance des équipements thermiques individuels;730;2022-10-11;2024;
CPC Mobilité et logistique;Secteur Transport, logistique, sécurité et autres services;Sous-secteur;Niveau 4;010-31101 W;Mention complémentaire de niveau 4;Accueil dans les transports;953;1997-11-26;1998;
CPC Industrie;Secteur Métallurgie;Sous-secteur Aviation;Niveau 4;010-25311 R;Mention complémentaire de niveau 4;Aéronautique option hélicoptères à moteurs à pistons;29139;2015-02-18;2016;
CPC Mer et navigation intérieure;Secteur Métallurgie;Sous-secteur Electrotechnique, électronique, automatisme et informatique;Niveau 4;010-25003 R;Mention complémentaire de niveau 4;Mécatronique navale;24921;2015-11-26;2017;
CPC Mer et navigation intérieure;Secteur Transport, logistique, sécurité et autres services;Sous-secteur;Niveau 4;010-25004 R;Mention complémentaire de niveau 4;Opérateur polyvalent en interventions subaquatiques;36816;2021-04-30;2022;
CPC Services et produits de consommation;Secteur Tourisme, hôtellerie, restauration;Sous-secteur;Niveau 4;010-33412 P;Mention complémentaire de niveau 4;Organisateur de réceptions;3138;2005-05-09;2006;
CPC Industrie;Secteur Métallurgie;Sous-secteur Electrotechnique, électronique, automatisme et informatique;Niveau 4;010-25002 R;Mention complémentaire de niveau 4;Technicien ascensoriste (service et modernisation);4105;2006-03-24;2007;
CPC Industrie;Secteur Métallurgie;Sous-secteur Electrotechnique, électronique, automatisme et informatique;Niveau 4;010-22703 U;Mention complémentaire de niveau 4;Technicien des services à l'énergie;36334;2010-02-22;2011;
CPC Industrie;Secteur Métallurgie;Sous-secteur Travail des métaux;Niveau 4;010-25408 S;Mention complémentaire de niveau 4;Technicien en chaudronnerie aéronautique et spatiale;35230;2017-01-12;2018;
CPC Industrie;Secteur Métallurgie;Sous-secteur Travail des métaux;Niveau 4;010-25406 S;Mention complémentaire de niveau 4;Technicien en soudage;24919;2015-11-26;2017;
CPC Industrie;Secteur Métallurgie;Sous-secteur Aviation;Niveau 4;400-25303 M;Baccalauréat professionnel;Aéronautique option systèmes;17474;2013-04-12;2016;
CPC Arts, spectacles et médias;Secteur Arts appliqués;Sous-secteur;Niveau 4;400-22309 V;Baccalauréat professionnel;Artisanat et métiers d'art - facteur d'orgues - option tuyautier;35320;2020-12-15;2021;
CPC Arts, spectacles et médias;Secteur Communication graphique et audiovisuel;Sous-secteur;Niveau 4;400-32303 V;Baccalauréat professionnel;Artisanat et métiers d'art option communication visuelle pluri média;12113;2011-04-26;2014;
CPC Arts, spectacles et médias;Secteur Arts appliqués;Sous-secteur Environnement;Niveau 4;400-23003 V;Baccalauréat professionnel;Artisanat et métiers d'art option marchandisage visuel;36335;2007-03-20;2009;
CPC Arts, spectacles et médias;Secteur Arts appliqués;Sous-secteur Arts du feu;Niveau 4;400-22402 M;Baccalauréat professionnel;Artisanat et métiers d'art option verrerie scientifique et technique;36425;2005-07-11;2007;
CPC Industrie;Secteur Métallurgie;Sous-secteur Aviation;Niveau 4;400-25305 M;Baccalauréat professionnel;Aviation générale;17484;2013-04-12;2016;
CPC Mobilité et logistique;Secteur Transport, logistique, sécurité et autres services;Sous-secteur;Niveau 4;400-31107 T;Baccalauréat professionnel;Conducteur transport routier marchandises;16770;2010-06-03;2013;
CPC Industrie;Secteur Métallurgie;Sous-secteur Automobile, matériel agricole et de travaux publics;Niveau 4;400-25410 S;Baccalauréat professionnel;Construction des carrosseries;14963;2010-04-08;2012;
CPC Services et produits de consommation;Secteur Coiffure, esthétique et services connexes;Sous-secteur;Niveau 4;400-33606 T;Baccalauréat professionnel;Esthétique Cosmétique Parfumerie;30312;2021-12-29;2025;
CPC Construction;Secteur Bois et dérivés;Sous-secteur;Niveau 4;400-23408 P;Baccalauréat professionnel;Etude et réalisation d'agencement;11934;2011-04-07;2014;
CPC Industrie;Secteur Métallurgie;Sous-secteur Travail des métaux;Niveau 4;400-22303 S;Baccalauréat professionnel;Fonderie;6726;2009-04-30;2012;
CPC Industrie;Secteur Chimie, bio-industrie, environnement;Sous-secteur Chimie, bio-industrie, environnement;Niveau 4;400-34303 T;Baccalauréat professionnel;Gestion des pollutions et protection de l'environnement;14899;2012-07-17;2016;
CPC Services aux entreprises;Secteur Chimie, bio-industrie, environnement;Sous-secteur Chimie, bio-industrie, environnement;Niveau 4;400-34304 T;Baccalauréat professionnel;Hygiène, propreté et stérilisation;14893;2012-07-17;2016;
CPC Construction;Secteur Bâtiment, travaux publics, matériaux de construction;Sous-secteur;Niveau 4;400-23207 B;Baccalauréat professionnel;Interventions sur le patrimoine bâti option C - couverture;5534;2013-12-20;2016;
CPC Mobilité et logistique;Secteur Transport, logistique, sécurité et autres services;Sous-secteur;Niveau 4;400-31106 M;Baccalauréat professionnel;Logistique;1120;2010-06-03;2012;
CPC Agriculture, agroalimentaire et aménagement des espaces;Secteur Métallurgie;Sous-secteur Automobile, matériel agricole et de travaux publics;Niveau 4;400-25219 R;Baccalauréat professionnel;Maintenance des matériels option A - matériels agricoles;29701;2016-03-24;2019;
CPC Industrie;Secteur Métallurgie;Sous-secteur Automobile, matériel agricole et de travaux publics;Niveau 4;400-25220 R;Baccalauréat professionnel;Maintenance des matériels option B - matériels de travaux publics et de manutention;29700;2016-03-24;2019;
CPC Industrie;Secteur Métallurgie;Sous-secteur Electrotechnique, électronique, automatisme et informatique;Niveau 4;400-25012 R;Baccalauréat professionnel;Maintenance des systèmes de production connectés;35698;2020-12-09;2024;
CPC Mer et navigation intérieure;Secteur;Sous-secteur;Niveau 4;400-25009 R;Baccalauréat professionnel;Maintenance nautique;5860;2008-04-17;2010;
