FORMATION_DIPLOME;NIVEAU_FORMATION_DIPLOME;GROUPE_SPECIALITE;LETTRE_SPECIALITE;ANCIEN_RECME;LIBELLE_COURT;LIBELLE_STAT_33;LIBELLE_LONG_200;DATE_OUVERTURE;DATE_FERMETURE;UNITE_CAPITALISABLE;DATE_PREMIERE_SESSION;DATE_DERNIERE_SESSION;DATE_ARRETE_CREATION;DATE_ARRETE_ABROGATION;DATE_ARRETE_MODIFICATION_1;DATE_ARRETE_MODIFICATION_2;DATE_ARRETE_MODIFICATION_3;DATE_ARRETE_MODIFICATION_4;DATE_ARRETE_MODIFICATION_5;DATE_ARRETE_MODIFICATION_6;DATE_ARRETE_MODIFICATION_7;DATE_ARRETE_MODIFICATION_8;DATE_ARRETE_MODIFICATION_9;DATE_ARRETE_MODIFICATION_10;COMMENTAIRE;NATURE_FORMATION_DIPLOME;GESTIONNAIRE_FORMATION_DIPLOME;DATE_INTERVENTION;ID_DOCUMENT;CITE_DOMAINE_FORMATION;NIVEAU_QUALIFICATION_RNCP
01022302;010;223;V;523690;MC5;GEMMOLOGIE (MC5);GEMMOLOGIE (MC NIVEAU V);10/03/1980;31/08/2005;N;1981;2004;10/03/1980;23/05/2003;14/03/1991;;;;;;;;;;ABROGEE SANS REMPLACEMENT.;1;DGESCO A2-3;10/12/2020;;215;03
01022303;010;223;S;520829;MC5;MOULEUR PLAQUISTE (MC5);MOULEUR PLAQUISTE (MC NIVEAU V);09/04/1954;31/08/2008;N;1954;2007;09/04/1954;20/03/2007;;;;;;;;;;;ABROGEE SANS REMPLACEMENT.;1;DGESCO A2-3;10/12/2020;;521;03
01022304;010;223;V;;MC3;JOAILLERIE (MC3);JOAILLERIE (MC NIVEAU III);01/09/2001;31/08/2024;;2003;2024;08/01/2002;25/08/2023;;;;;;;;;;;CREATION EX NIHILO.;1;DGESCO A2-3;21/11/2023;;215;03
01022305;010;223;V;;MC4;SERTISSAGE EN JOAILLERIE (MC4);SERTISSAGE EN JOAILLERIE (MC NIVEAU IV);01/09/2002;31/08/2012;;2003;2011;12/03/2002;18/02/2010;;;;;;;;;;;CREATION EX NIHILO. ABROGEE SANS REMPLACEMENT.;1;DGESCO A2-3;10/12/2020;;215;04
01022306;010;223;V;;MC4;ART DE LA DORURE A CHAUD;ART DE LA DORURE A CHAUD (MC NIVEAU IV);01/09/2021;31/08/2024;;2022;2024;10/03/2021;25/08/2023;28/11/2023;;;;;;;;;;;1;DGESCO A2-3;06/01/2024;;;04
01022307;010;223;V;;MC3;BIJOUX DE MODE (MC3);BIJOUX DE MODE (MC NIVEAU III);01/09/2023;31/08/2024;;2024;2024;29/12/2022;25/08/2023;;;;;;;;;;;;1;DGESCO A2-3;21/11/2023;;;03
01022401;010;224;S;520301;MC5;MARBRERIE FUNERAIRE  (MC5);MARBRERIE FUNERAIRE (MC NIVEAU V);13/05/1991;31/08/2006;N;1992;2005;13/05/1991;05/10/2005;;;;;;;;;;;ABROGEE SANS REMPLACEMENT.;1;DGESCO A2-3;10/12/2020;;543;03
01022402;010;224;S;520310;MC5;GRAVEUR SUR PIERRE (MC5);GRAVEUR SUR PIERRE (MC NIVEAU V);21/03/1975;31/08/2016;N;1976;2015;27/09/1956;22/10/2013;21/03/1975;13/07/1982;;;;;;;;;;1;DGESCO A2-3;10/12/2020;;215;03
01022403;010;224;S;520323;MC5;FACON.CHEMINEES INTERIEUR (MC5);FACONNIER DE CHEMINEES D'INTERIEUR (MC NIVEAU V);16/06/1983;31/08/2009;N;1984;2008;16/06/1983;26/06/2007;;;;;;;;;;;ABROGEE SANS REMPLACEMENT.;1;DGESCO A2-3;10/12/2020;;582;03
01022404;010;224;S;520501;MC5;BETON PRET A L'EMPLOI (MC5);BETON PRET A L'EMPLOI (MC NIVEAU V);13/05/1991;31/08/2006;N;1992;2005;13/05/1991;05/10/2005;;;;;;;;;;;SA CREATION A ÉTÉ LIEE A L'ABROGATION DU CAP AGENT DE FABRICATION DU BETON (50023209S). ABROGEE SANS REMPLACEMENT.;1;DGESCO A2-3;10/12/2020;;582;03
01022405;010;224;U;521003;MC3;CONDUCT.MACHINES VERRERIE (MC3);CONDUCTEUR DE MACHINES DE VERRERIE (MC NIVEAU III);25/10/1988;31/08/2024;N;1991;2024;25/10/1988;25/08/2023;;;;;;;;;;;CREATION EX NIHILO. CETTE CREATION EST LIEE A L'ABROGATION DU CAP MECANICIEN VERRIER (50022401S).;1;DGESCO A2-3;21/11/2023;;543;03
01022406;010;224;S;521301;MC5;FACONNAGE (MC5);FACONNAGE (MC AU CAP);18/07/1988;31/08/1999;N;1989;1998;18/07/1988;16/12/1996;;;;;;;;;;;ABROGEE SANS REMPLACEMENT.;1;DGESCO A2-3;10/12/2020;;543;03
01022701;010;227;T;520602;MC3;MAINT.EQUIPT THERMIQ.INDIV. (MC3);MAINTENANCE EN EQUIPEMENT THERMIQUE INDIVIDUEL (MC NIVEAU III);01/09/1994;31/08/2023;N;1995;2023;09/09/1994;11/10/2022;;;;;;;;;;;CREATION EX NIHILO.;1;DGESCO A2-3;07/04/2023;;522;03
01022702;010;227;R;520603;MC;MAINTENANCE EQUIP.THERMIQUE INDU.;MAINTENANCE EN EQUIPEMENT THERMIQUE INDIVIDUEL (MC AUX CAP ET BEP);01/01/1901;02/01/1901;N;;;;;;;;;;;;;;;CREEE PAR ERREUR EN DOUBLE AVEC 01022701T.;Z;DGESCO A2-3;10/12/2020;;999;03
01022703;010;227;U;;MC4;TECHN.DES SERVICES ENERGIE (MC4);TECHNICIEN(NE)  DES SERVICES A L'ENERGIE (NIVEAU IV);01/09/2010;31/08/2024;;2011;2024;22/02/2010;25/08/2023;15/01/2019;14/12/2020;28/11/2023;;;;;;;;CREATION EX NIHILO.;1;DGESCO A2-3;06/01/2024;;522;04
01022704;010;227;S;;MC4;TECH.ENERG.RENOUV.A EN.ELECTRIQUE;TECHNICIEN EN ENERGIES RENOUVELABLES OPTION A ENERGIE ELECTRIQUE (MC NIVEAU IV);01/09/2010;31/08/2024;;2011;2024;20/04/2010;25/08/2023;20/06/2013;15/01/2019;14/12/2020;28/11/2023;;;;;;;CREATION EX NIHILO. Attention,avant diffusion de mai 2010, ce code concernait la MC sans option (erreur rectifiée suite à publication arrêté). Voir 01022705 créé après.;1;DGESCO A2-3;06/01/2024;;522;04
01022705;010;227;S;;MC4;TECH.ENERG.RENOUV.B EN.THERMIQUE;TECHNICIEN EN ENERGIES RENOUVELABLES OPTION B ENERGIE THERMIQUE (MC NIVEAU IV);01/09/2010;31/08/2024;;2011;2024;20/04/2010;25/08/2023;20/06/2013;15/01/2019;14/12/2020;28/11/2023;;;;;;;CREATION EX NIHILO. Attention,avant diffusion de mai 2010, ce code n'existait pas. Seul avait été créé 01022704 correspondant à la  MC sans option (erreur rectifiée suite à publication arrêté),;1;DGESCO A2-3;06/01/2024;;522;04
01022706;010;227;T;;MC3;MAINT.EQUIP.THERM.INDIVID.(MC3);MAINTENANCE DES EQUIPEMENTS THERMIQUES INDIVIDUELS (MC3);01/09/2023;31/08/2024;;2024;2024;11/10/2022;25/08/2023;;;;;;;;;;;;1;DGESCO A2-3;21/11/2023;;;03
01023001;010;230;N;522704;MC5;DESSINAT.IND.CONST.ELECTRONQ(MC5);DESSINATEUR INDUSTRIEL EN CONSTRUCTION ELECTRONIQUE (MC AUX CAP ET BEP);15/10/1973;31/08/1994;N;1974;1989;15/10/1973;31/08/1988;12/07/1982;;;;;;;;;;ABROGEE.;1;DGESCO A2-3;10/12/2020;;999;03
01023101;010;231;S;;MC4;EXPL.CARRIER.TRAIT.GRANULA. (MC4);EXPLOITATION DE CARRIERES ET DE TRAITEMENTS DES GRANULATS (MC NIVEAU IV);01/09/1995;31/08/2006;N;1996;2005;06/11/1995;05/10/2005;;;;;;;;;;;ABROGEE SANS REMPLACEMENT.;1;DGESCO A2-3;10/12/2020;;544;04
01023201;010;232;S;460501;MC4;RESTAU.PATRIM.ARCHI.GR.OEUV.(MC4);RESTAURATION DU PATRIMOINE ARCHITECTURAL OPTION : GROS OEUVRE (MC NIVEAU IV);21/11/1991;31/08/2009;N;1991;2008;21/11/1991;18/02/2008;;;;;;;;;;;ABROGEE SANS REMPLACEMENT.;1;DGESCO A2-3;10/12/2020;;215;04
01023202;010;232;S;520601;MC3;ZINGUERIE (MC3);ZINGUERIE (MC NIVEAU III);09/08/1989;31/08/2023;N;1990;2023;09/08/1989;29/08/2022;05/01/1990;;;;;;;;;;;1;DGESCO A2-3;07/04/2023;;582;03
01023203;010;232;S;;MC5;MACONNERIE DE BRIQUES (MC5);MACONNERIE DE BRIQUES (MC NIVEAU V);01/09/1997;31/08/2006;N;1999;2005;07/05/1998;22/09/2004;;;;;;;;;;;ABROGEE SANS REMPLACEMENT.;1;DGESCO A2-3;10/12/2020;;582;03
01023204;010;232;S;;MC3;ZINGUEUR (MC3);ZINGUEUR (MC NIVEAU III);01/09/2023;31/08/2024;;2024;2024;29/08/2022;25/08/2023;;;;;;;;;;;;1;DGESCO A2-3;21/11/2023;;;03
01023301;010;233;S;520701;MC5;PEINTURE DECORATION (MC5);PEINTURE DECORATION (MC AUX CAP ET BEP);09/08/1989;31/08/2002;N;1990;2001;09/08/1989;26/07/2000;05/01/1990;10/10/1991;15/02/1994;;;;;;;;REMPLACEE PAR LA MC4  DE MÊME INTITULE (01023304S).;1;DGESCO A2-3;10/12/2020;;582;03
01023302;010;233;S;520702;MC3;PLAQUISTE (MC3);PLAQUISTE (MC NIVEAU III);07/07/1993;31/08/2023;N;1994;2023;07/07/1993;30/08/2022;;;;;;;;;;;CREATION EX NIHILO.;1;DGESCO A2-3;07/04/2023;;582;03
01023303;010;233;W;;MC5;VENTE TECHNIQUE HABITAT(MC5);VENTE TECHNIQUE POUR L'HABITAT (MC NIVEAU V);01/09/1997;31/08/2006;N;1998;2005;21/07/1997;06/12/2004;18/10/2000;;;;;;;;;;SA CREATION A ETE LIEE  A L'ABROGATION DU CAP QUINCAILLERIE (50031207T). REMPLACE  PAR LA MC4 VENDEUR SPECIALISE  EN PRODUITS TECHNIQUES POUR L'HABITAT (01023305W).;1;DGESCO A2-3;10/12/2020;;341;03
01023304;010;233;S;;MC4;PEINTURE DECORATION (MC4);PEINTURE DECORATION (MC NIVEAU IV);01/09/2001;31/08/2024;;2002;2024;26/07/2000;25/08/2023;20/06/2013;14/12/2020;28/11/2023;;;;;;;;REMPLACE LA MC5 DE MÊME INTITULE (01023301S).;1;DGESCO A2-3;06/01/2024;;582;04
01023305;010;233;W;;MC4;VEND.SPEC.PDTS TECH.HABITAT (MC4);VENDEUR SPECIALISE EN PRODUITS TECHNIQUES POUR L'HABITAT (MC NIVEAU IV);01/09/2005;31/08/2015;;2006;2015;06/12/2004;17/12/2014;;;;;;;;;;;REMPLACE LA MC5 VENTE TECHNIQUE POUR L'HABITAT (01023303W).;1;DGESCO A2-3;10/12/2020;;341;04
01023306;010;233;W;;MC4;VEND.CONS.PROD.TECH.HABITAT (MC4);VENDEUR-CONSEIL EN PRODUITS TECHNIQUES POUR L'HABITAT (MC NIVEAU IV);01/09/2015;31/08/2024;;2016;2024;17/12/2014;25/08/2023;14/12/2020;28/11/2023;;;;;;;;;;1;DGESCO A2-3;06/01/2024;;341;04
01023307;010;233;S;;MC3;PLATRIER (MC3);PLATRIER (MC NIVEAU III);01/09/2023;31/08/2024;;2024;2024;30/08/2022;25/08/2023;;;;;;;;;;;;1;DGESCO A2-3;21/11/2023;;;03
01023401;010;234;S;462301;MC4;CHARP.NAV.BOIS-MATERX ASSOC.(MC4);CHARPENTE NAVALE BOIS ET MATERIAUX ASSOCIES (MC NIVEAU IV);07/05/1991;31/08/2005;N;1992;;07/05/1991;01/01/2004;;;;;;;;;;;;1;DGESCO A2-3;10/12/2020;;543;04
01023402;010;234;S;522301;MC5;CHARP.NAV.BOIS-MATERX ASSOC.(MC5);CHARPENTE NAVALE BOIS ET MATERIAUX ASSOCIES (MC NIVEAU V);07/05/1991;31/08/2008;N;1992;2007;07/05/1991;31/03/2005;;;;;;;;;;;A REMPLACE LE CAP CHARPENTIER DE NAVIRE EN BOIS (50023409S). ABROGE SANS REMPLACEMENT. CETTE ABROGATION EST LIEE A LA CREATION DU CAP 50023444.;1;DGESCO A2-3;10/12/2020;;543;03
01023403;010;234;S;;MC5;PARQUETEUR (MC5);PARQUETEUR (MC NIVEAU V);01/09/1996;31/08/2022;N;1997;2022;03/04/1996;26/02/2021;15/12/2021;;;;;;;;;;CREATION EX NIHILO.;1;DGESCO A2-3;12/04/2022;;543;03
01024101;010;241;S;522014;MC5;ARMURES COMPLEXES FACONNES (MC5);ARMURES COMPLEXES ET FACONNES (MC AU CAP);19/03/1962;02/09/1992;N;1963;1991;19/03/1962;19/05/1989;;;;;;;;;;;;1;DGESCO A2-3;10/12/2020;;999;03
01024201;010;242;R;;MC3;ESSAYAGE-RETOUCHE-VENTE (MC3);ESSAYAGE-RETOUCHE-VENTE (MC NIVEAU III);01/09/1996;31/08/2024;N;1997;2024;22/10/1996;25/08/2023;;;;;;;;;;;CREATION EX NIHILO.;1;DGESCO A2-3;21/11/2023;;542;03
01024202;010;242;S;;MC5;DECORS TEXT. PERM.  EPHEM. (MC5);DECORS TEXTILES PERMANENTS ET EPHEMERES (MC NIVEAU V);01/09/2008;31/08/2023;;2009;2023;18/02/2008;06/04/2022;;;;;;;;;;;CREATION EX NIHILO.;1;DGESCO A2-3;08/01/2023;;214;03
01024301;010;243;S;522201;MC5;PIQUAGE ARTICLES CHAUSSANTS (MC5);PIQUAGE D'ARTICLES CHAUSSANTS (MC NIVEAU V);09/08/1989;31/08/2021;N;1990;2021;09/08/1989;03/05/2021;06/08/1991;;;;;;;;;;;1;DGESCO A2-3;09/06/2021;;542;03
01025001;010;250;R;521128;MC5;ENTR.DEPAN.MAT.ELECTROMENAG.(MC5);ENTRETIEN ET DEPANNAGE DES MATERIELS ELECTROMENAGERS (MC AU CAP);21/01/1981;31/08/1994;N;1981;1989;21/01/1981;31/08/1988;13/04/1981;18/02/1983;;;;;;;;;ABROGEE.;1;DGESCO A2-3;10/12/2020;;999;03
01025002;010;250;R;;MC4;TECHNIC.ASCENSORIST. SERV.-MODERN;TECHNICIEN(NE) ASCENSORISTE (SERVICE ET MODERNISATION) (MC NIVEAU IV);01/09/2006;31/08/2024;;2007;2024;24/03/2006;25/08/2023;22/06/2006;14/12/2020;28/11/2023;;;;;;;;CREATION EX NIHILO.;1;DGESCO A2-3;06/01/2024;;523;04
01025003;010;250;R;;MC4;MECATRONIQUE NAVALE (MC4);MECATRONIQUE NAVALE (MC NIVEAU IV);01/09/2016;31/08/2024;;2017;2024;26/11/2015;25/08/2023;14/12/2020;28/11/2023;;;;;;;;;;1;DGESCO A2-3;06/01/2024;;523;04
01025004;010;250;R;;MC4;OPERAT.POLYV.INTERV.SUBAQUAT.;OPERATEUR POLYVALENT EN INTERVENTIONS SUBAQUATIQUES (MC NIVEAU IV);01/09/2021;31/08/2024;;2022;2024;30/04/2021;25/08/2023;;28/11/2023;;;;;;;;;;1;DGESCO A2-3;06/01/2024;;;04
01025101;010;251;S;461001;MC4;RECTIFICATION (MC4);RECTIFICATION (MC AUX BTN);12/08/1987;31/08/1997;N;1988;1994;12/08/1987;02/09/1993;13/05/1991;;;;;;;;;;REMPLACEE PAR LA MC4 OPERATEUR REGLEUR DES SYSTEMES DE.RECTIFICATION (01025113U).;1;DGESCO A2-3;10/12/2020;;521;04
01025102;010;251;U;521022;MC5;MECA.REGL.MET.TISS.SOIER.AM.(MC5);MECANICIEN REGLEUR DE METIER A TISSER EN SOIERIES D'AMEUBLEMENT (MC AU CAP);27/09/1960;31/08/1999;N;1961;;27/09/1960;01/01/1998;;;;;;;;;;;FERMEE lors de la préparation de RS 1999 bien qu'il n'y ait aucun arrêté d'abrogation. Serait rattachée à des CAP et BEP abrogés.;1;DGESCO A2-3;10/12/2020;;521;03
01025103;010;251;R;521026;MC5;MECA.CIRCUIT.OLEOHYDR.PNEUM.(MC5);MECANICIEN EN CIRCUITS OLEOHYDRAULIQUES ET PNEUMATIQUES (MC AUX CAP ET BEP);16/08/1963;31/08/2000;N;1964;1999;16/08/1963;27/07/1999;14/11/1963;24/02/1975;03/05/1982;02/08/1984;06/01/1987;11/12/1990;13/05/1991;;;;REMPLACEE PAR LA MC5 REALISATION DE CIRCUITS OLEOHYDRAULIQUES & PNEUMATIQUES (01025117S).;1;DGESCO A2-3;10/12/2020;;521;03
01025104;010;251;U;521046;MC5;OP.REGL.MACHIN.OUT.COMDE.NUM(MC5);OPERATEUR REGLEUR SUR MACHINE-OUTIL A COMMANDE NUMERIQUE (MC AUX CAP ET BEP);31/08/1984;31/08/1994;N;1985;1994;31/08/1984;02/09/1993;06/05/1986;06/01/1987;03/07/1987;29/03/1988;13/05/1991;;;;;;REMPLACEE PAR LA MC OPERATEUR REGLEUR DE MACHINES A COMMANDES NUMERIQUES (01025112S).;1;DGESCO A2-3;10/12/2020;;999;03
01025105;010;251;S;521071;MC5;MECA.OUTILS DECOUP. EMBOUT. (MC5);MECANICIEN EN OUTILS A DECOUPER ET A EMBOUTIR (MC NIVEAU V);04/09/1987;31/08/2004;N;1988;2003;04/09/1987;25/07/2003;29/03/1988;13/05/1991;;;;;;;;;ABROGEE SANS REMPLACEMENT.;1;DGESCO A2-3;10/12/2020;;521;03
01025106;010;251;S;521081;MC5;RECTIFICATION (MC5);RECTIFICATION (MC AUX CAP ET BEP);12/08/1987;31/08/1994;N;1988;1994;12/08/1987;02/09/1993;13/05/1991;;;;;;;;;;SA CREATION A ETE LIEE A L'ABROGATION DU CAP RECTIFIEUR (50025102S). REMPLACEE PAR LA MC4 OPERATEUR REGLEUR DES SYSTEMES DE RECTIFICATION (01025113U).;1;DGESCO A2-3;10/12/2020;;999;03
01025107;010;251;U;521083;MC5;OUTILL.OUT.MOULAG.:FRAISAGE (MC5);OUTILLEUR EN OUTILS DE MOULAGE OPTION : FRAISAGE (MC NIVEAU V);06/11/1987;31/08/2004;N;1988;2003;06/11/1987;25/07/2003;29/03/1988;12/05/1989;;;;;;;;;ABROGEE SANS REMPLACEMENT.;1;DGESCO A2-3;10/12/2020;;521;03
01025108;010;251;U;521084;MC5;OUTILL.OUT.MOULAG.:AJUSTAGE (MC5);OUTILLEUR EN OUTILS DE MOULAGE OPTION : AJUSTAGE (MC NIVEAU V);06/11/1987;31/08/2004;N;1988;2003;06/11/1987;25/07/2003;29/03/1988;12/05/1989;;;;;;;;;ABROGEE SANS REMPLACEMENT.;1;DGESCO A2-3;10/12/2020;;521;03
01025109;010;251;S;521089;MC5;MODELEUR MECAN. MAQUETTISTE (MC5);MODELEUR MECANICIEN MAQUETTISTE (MC AUX CAP ET BEP);07/12/1983;31/08/1999;N;1985;1999;07/12/1983;12/01/1999;;;;;;;;;;;ABROGEE SANS REMPLACEMENT.;1;DGESCO A2-3;10/12/2020;;521;03
01025110;010;251;N;522709;MC5;DESSINATEUR CONSTRUCT.MECA. (MC5);DESSINATEUR EN CONSTRUCTION MECANIQUE (MC NIVEAU V);18/09/1987;31/08/2004;N;1988;2003;18/09/1987;25/07/2003;29/03/1988;12/05/1989;09/08/1989;04/07/1991;;;;;;;ABROGEE SANS REMPLACEMENT.;1;DGESCO A2-3;10/12/2020;;521;03
01025111;010;251;S;521004;MC5;MONTAG.AJUST.SYS.MECA.AUTOM.(MC5);MONTAGE AJUSTAGE DE SYSTEMES MECANIQUES AUTOMATISES (MC NIVEAU V);02/09/1993;31/08/2003;N;1994;2002;02/09/1993;31/07/2002;17/01/1994;;;;;;;;;;SA CREATION A ÉTÉ LIEE A L'ABROGATION DU CAP DE MÊME INTITULE (50025120S). REMPLACEE PAR LA MC DE MÊME INTITULE (01025111S).;1;DGESCO A2-3;10/12/2020;;521;03
01025112;010;251;S;521047;MC5;OP.REGL.MACHIN.OUT.COMDE.NUM(MC5);OPERATEUR-REGLEUR SUR MACHINES A COMMANDE NUMERIQUE (MC NIVEAU V);02/09/1993;31/08/2003;N;1994;2002;02/09/1993;30/07/2002;;;;;;;;;;;A REMPLACE LA MC OPERATEUR REGLEUR DE MACHINE-OUTIL A COMMANDE NUMERIQUE (01025104U). REMPLACEE PAR LA MC5 DE MÊME INTITULE (01025119S).;1;DGESCO A2-3;10/12/2020;;521;03
01025113;010;251;U;521082;MC5;OPER.REGL.SYST. RECTIFICAT. (MC5);OPERATEUR-REGLEUR SYSTEMES DE RECTIFICATION (MC NIVEAU V);02/09/1993;31/08/2003;N;1994;2002;02/09/1993;01/08/2002;;;;;;;;;;;A REMPLACE LES MC "RECTIFICATION" de niveau 5 (01025106S) & de niveau 4 (01025101S) . REMPLACEE PAR LA MC5 DE MÊME INTITULE (01025121U).;1;DGESCO A2-3;10/12/2020;;521;03
01025114;010;251;U;;MC;RECTIFICATION;RECTIFICATION (MC);01/01/1992;02/09/1992;;;;;;;;;;;;;;;;CODE CREE PAR ERREUR (VOIR 01025101S, 01025106S, 01025113U).;Z;DGESCO A2-3;10/12/2020;;999;03
01025115;010;251;S;;MC4;MAQUETTES ET PROTOTYPES (MC4);MAQUETTES ET PROTOTYPES (MC  NIVEAU IV);01/09/1998;31/08/2003;;1999;2002;12/01/1999;01/08/2002;;;;;;;;;;;CREATION EX NIHILO. REMPLACEE PAR LA MC4 DE MÊME INTITULE (01025122S).;1;DGESCO A2-3;10/12/2020;;521;04
01025116;010;251;R;;MC4;MAINT.INST.OLEOHYDRAU.PNEUM.(MC4);MAINTENANCE DES INSTALLATIONS OLEO-HYDRAULIQUES ET PNEUMATIQUES (MC NIVEAU IV);01/09/1999;31/08/2003;N;2000;2002;27/07/1999;01/08/2002;;;;;;;;;;;CREATION EX NIHILO. REMPLACEE PAR LA MC4 DE MÊME INTITULE (01025123R).;1;DGESCO A2-3;10/12/2020;;521;04
01025117;010;251;S;;MC5;REAL.CIRCUIT.OLEOHYDR.PNEUM.(MC5);REALISATION DE CIRCUITS OLEOHYDRAULIQUES ET PNEUMATIQUES (MC NIVEAU V);01/09/2000;31/08/2003;N;2000;2002;27/07/1999;30/07/2002;;;;;;;;;;;A REMPLACE LA MC5 MECANICIEN EN CIRCUITS OLEOHYDRAULIQUES & PNEUMATIQUES (01025103R). REMPLACEE PAR LA MC5 DE MÊME INTITULE (01025118S).;1;DGESCO A2-3;10/12/2020;;521;03
